RegionIncomeClar,RegionSalesCar
Alameda County,Alameda
Alpine County,
Amador County,Amador
Bay Area.xlsx,S.F. Bay Area
Butte County,Butte County
CA.xlsx,CA Condo/Townhomes
CA.xlsx,CA SFH (SAAR)
Calaveras County,
Colusa County,
Contra Costa County,Contra-Costa
Del Norte County,
El Dorado County,El Dorado County
Fresno County,Fresno
Glenn County,
Humboldt County,Humboldt
Imperial County,
Inland Empire.xlsx,Inland Empire
Inyo County,
Kern County,Kern (Bakersfield)
Kings County,Kings County
LA Metro.xlsx,Los Angeles Metropolitan Area
Lake County,Lake County
Lassen County,
Los Angeles County,Los Angeles
Madera County,Madera
Marin County,Marin
Mariposa County,Mariposa And Tuolumne
Mendocino County,Mendocino
Merced County,Merced
Modoc County,
Mono County,
Monterey County,Monterey
Napa County,Napa
Nevada County,
Orange County,Orange County
Placer County,Placer County
Plumas County,
Riverside County,Riverside County
Sacramento County,Sacramento
San Benito County,San Benito
San Bernardino County,San Bernardino
San Diego County,San Diego
San Francisco County,San Francisco
San Joaquin County,San Joaquin
San Luis Obispo County,San Luis Obispo
San Mateo County,San Mateo
Santa Barbara County,Santa Barbara
Santa Clara County,Santa Clara
Santa Cruz County,Santa Cruz
Shasta County,Shasta
Sierra County,
Siskiyou County,Siskiyou County
So Cal.xlsx,Southern California
Solano County,Solano
Sonoma County,Sonoma
Stanislaus County,Stanislaus
Sutter County,Sutter
Tehama County,Tehama
Trinity County,
Tulare County,Tulare
Tuolumne County,Mariposa And Tuolumne
US.xlsx,US
Ventura County,Ventura
Yolo County,Yolo
Yuba County,Yuba
