RegionIncomeClar,RegionSalesCar,Region_ETC
CA.xlsx,CA SFH (SAAR),Regions
CA.xlsx,CA Condo/Townhomes,Regions
LA Metro.xlsx,Los Angeles Metropolitan Area,Regions
Contra Costa County,Contra-Costa,Regions
Inland Empire.xlsx,Inland Empire,Regions
Bay Area.xlsx,S.F. Bay Area,Regions
US.xlsx,United States,Regions
Alameda County,Alameda,S.F. Bay Area
Marin County,Marin,S.F. Bay Area
Napa County,Napa,S.F. Bay Area
San Francisco County,San Francisco,S.F. Bay Area
San Mateo County,San Mateo,S.F. Bay Area
Santa Clara County,Santa Clara,S.F. Bay Area
Solano County,Solano,S.F. Bay Area
Sonoma County,Sonoma,S.F. Bay Area
Los Angeles County,Los Angeles,Southern California
Orange County,Orange County,Southern California
Riverside County,Riverside County,Southern California
San Bernardino County,San Bernardino,Southern California
San Diego County,San Diego,Southern California
Ventura County,Ventura,Southern California
Monterey County,Monterey,Central Coast
San Luis Obispo County,San Luis Obispo,Central Coast
Santa Barbara County,Santa Barbara,Central Coast
Santa Cruz County,Santa Cruz,Central Coast
Fresno County,Fresno,Central Valley
Kern County,Kern (Bakersfield),Central Valley
Kings County,Kings County,Central Valley
Madera County,Madera,Central Valley
Merced County,Merced,Central Valley
Placer County,Placer County,Central Valley
Sacramento County,Sacramento,Central Valley
San Joaquin County,San Joaquin,Central Valley
Stanislaus County,Stanislaus,Central Valley
Tulare County,Tulare,Central Valley
Amador County,Amador,Other Counties in California
Butte County,Butte County,Other Counties in California
El Dorado County,El Dorado County,Other Counties in California
Humboldt County,Humboldt,Other Counties in California
Lake County,Lake County,Other Counties in California
Mendocino County,Mendocino,Other Counties in California
So Cal.xlsx,Southern California,Other Counties in California
Alpine County,Alpine,Other Counties in California
Calaveras County,Calaveras,Other Counties in California
Colusa County,Colusa,Other Counties in California
Del Norte County,Del Norte,Other Counties in California
Glenn County,Glenn,Other Counties in California
Imperial County,Imperial,Other Counties in California
Inyo County,Inyo,Other Counties in California
Lassen County,Lassen,Other Counties in California
Mariposa County,Mariposa,Other Counties in California
Modoc County,Modoc,Other Counties in California
Mono County,Mono,Other Counties in California
Nevada County,Nevada,Other Counties in California
Plumas County,Plumas,Other Counties in California
San Benito County,San Benito,Central Valley
Shasta County,Shasta,Other Counties in California
Sierra County,Sierra,Other Counties in California
Siskiyou County,Siskiyou County,Other Counties in California
Sutter County,Sutter,Other Counties in California
Tehama County,Tehama,Other Counties in California
Trinity County,Trinity,Other Counties in California
Tuolumne County,Tuolumne,Other Counties in California
Yolo County,Yolo,Other Counties in California
Yuba County,Yuba,Other Counties in California
